set j job /0*99/;
set i machine /0*9/;
parameter c(i,j)/
0. 0 19
0. 1 28
0. 2 25
0. 3 31
0. 4 36
0. 5 12
0. 6 35
0. 7 50
0. 8 39
0. 9 12
0. 10 27
0. 11 37
0. 12 36
0. 13 35
0. 14 36
0. 15 39
0. 16 28
0. 17 15
0. 18 22
0. 19 30
0. 20 21
0. 21 39
0. 22 15
0. 23 30
0. 24 19
0. 25 46
0. 26 28
0. 27 47
0. 28 15
0. 29 36
0. 30 24
0. 31 43
0. 32 22
0. 33 42
0. 34 17
0. 35 14
0. 36 24
0. 37 23
0. 38 49
0. 39 37
0. 40 10
0. 41 38
0. 42 45
0. 43 24
0. 44 30
0. 45 50
0. 46 14
0. 47 16
0. 48 44
0. 49 12
0. 50 44
0. 51 17
0. 52 49
0. 53 35
0. 54 48
0. 55 40
0. 56 50
0. 57 43
0. 58 33
0. 59 49
0. 60 28
0. 61 25
0. 62 27
0. 63 38
0. 64 10
0. 65 22
0. 66 18
0. 67 44
0. 68 12
0. 69 48
0. 70 35
0. 71 48
0. 72 17
0. 73 45
0. 74 25
0. 75 49
0. 76 36
0. 77 33
0. 78 19
0. 79 23
0. 80 49
0. 81 31
0. 82 38
0. 83 23
0. 84 36
0. 85 19
0. 86 37
0. 87 23
0. 88 12
0. 89 26
0. 90 19
0. 91 34
0. 92 13
0. 93 26
0. 94 21
0. 95 43
0. 96 34
0. 97 14
0. 98 37
0. 99 45
1. 0 18
1. 1 45
1. 2 17
1. 3 39
1. 4 48
1. 5 47
1. 6 37
1. 7 14
1. 8 24
1. 9 29
1. 10 26
1. 11 30
1. 12 40
1. 13 45
1. 14 37
1. 15 37
1. 16 15
1. 17 31
1. 18 17
1. 19 30
1. 20 25
1. 21 38
1. 22 15
1. 23 32
1. 24 16
1. 25 20
1. 26 11
1. 27 21
1. 28 38
1. 29 40
1. 30 48
1. 31 34
1. 32 10
1. 33 12
1. 34 45
1. 35 35
1. 36 26
1. 37 36
1. 38 28
1. 39 35
1. 40 36
1. 41 40
1. 42 32
1. 43 32
1. 44 29
1. 45 45
1. 46 37
1. 47 19
1. 48 14
1. 49 27
1. 50 10
1. 51 21
1. 52 16
1. 53 18
1. 54 12
1. 55 38
1. 56 39
1. 57 31
1. 58 31
1. 59 46
1. 60 20
1. 61 19
1. 62 29
1. 63 35
1. 64 34
1. 65 29
1. 66 27
1. 67 50
1. 68 49
1. 69 21
1. 70 33
1. 71 30
1. 72 30
1. 73 28
1. 74 21
1. 75 16
1. 76 41
1. 77 41
1. 78 37
1. 79 18
1. 80 14
1. 81 45
1. 82 20
1. 83 24
1. 84 50
1. 85 50
1. 86 47
1. 87 17
1. 88 35
1. 89 39
1. 90 13
1. 91 16
1. 92 34
1. 93 12
1. 94 41
1. 95 40
1. 96 46
1. 97 49
1. 98 22
1. 99 47
2. 0 26
2. 1 34
2. 2 49
2. 3 11
2. 4 38
2. 5 34
2. 6 39
2. 7 38
2. 8 35
2. 9 23
2. 10 40
2. 11 12
2. 12 28
2. 13 38
2. 14 33
2. 15 16
2. 16 44
2. 17 29
2. 18 37
2. 19 27
2. 20 32
2. 21 24
2. 22 38
2. 23 23
2. 24 24
2. 25 18
2. 26 29
2. 27 11
2. 28 38
2. 29 26
2. 30 28
2. 31 18
2. 32 42
2. 33 42
2. 34 36
2. 35 37
2. 36 42
2. 37 15
2. 38 37
2. 39 20
2. 40 23
2. 41 38
2. 42 13
2. 43 27
2. 44 25
2. 45 41
2. 46 20
2. 47 44
2. 48 49
2. 49 33
2. 50 25
2. 51 49
2. 52 11
2. 53 45
2. 54 46
2. 55 22
2. 56 30
2. 57 12
2. 58 22
2. 59 40
2. 60 33
2. 61 35
2. 62 28
2. 63 23
2. 64 35
2. 65 30
2. 66 40
2. 67 14
2. 68 23
2. 69 11
2. 70 29
2. 71 37
2. 72 32
2. 73 33
2. 74 48
2. 75 17
2. 76 48
2. 77 46
2. 78 16
2. 79 20
2. 80 50
2. 81 40
2. 82 19
2. 83 34
2. 84 30
2. 85 38
2. 86 43
2. 87 43
2. 88 25
2. 89 32
2. 90 13
2. 91 24
2. 92 12
2. 93 27
2. 94 29
2. 95 31
2. 96 36
2. 97 46
2. 98 29
2. 99 21
3. 0 33
3. 1 18
3. 2 11
3. 3 28
3. 4 22
3. 5 13
3. 6 37
3. 7 26
3. 8 50
